title,image,year,price,author,rating,publisher,length,ISBN,city/country
The Untethered Soul,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5722/9781572245372.jpg,2007,19.28,Michael A. Singer,4.17,New Harbinger Publications,200,9781572245372,"Oakland, CA, United States"
The Very Hungry Caterpillar,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/2410/9780241003008.jpg,1994,13.1,Eric Carle,4.29,Penguin Random House Children's UK,24,9780241003008,"London, United Kingdom"
The Song of Achilles,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5266/9781526648174.jpg,2021,36.46,Madeline Miller,4.41,Bloomsbury Publishing PLC,384,9781526648174,"London, United Kingdom"
Afterlives,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5266/9781526615893.jpg,2021,24.7,Abdulrazak Gurnah,4.01,Bloomsbury Publishing Plc,288,9781526615893,"London, United Kingdom"
"The Boy, the Mole, the Fox and the Horse",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/0629/9780062976581.jpg,2020,28.59,Charlie Mackesy,4.59,HarperOne,128,9780062976581,
November 9,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5011/9781501110344.jpg,2015,25.68,Colleen Hoover,4.33,Simon & Schuster,320,9781501110344,"New York, United States"
Ottolenghi Test Kitchen: Shelf Love,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5291/9781529109481.jpg,2021,41.75,Yotam Ottolenghi,4,Ebury Publishing,256,9781529109481,"London, United Kingdom"
"86 - EIGHTY SIX, Vol. 1 (light novel)",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9753/9781975303129.jpg,2019,21.21,Asato Asato,4.48,"Little, Brown & Company",224,9781975303129,"New York, United States"
If We Were Villains,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7856/9781785656477.jpg,2017,16.8,M. L. Rio,4.16,Titan Books Ltd,400,9781785656477,"London, United Kingdom"
The Love Hypothesis,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4087/9781408725764.jpg,2021,19.22,Ali Hazelwood,4.47,"Little, Brown Book Group",384,9781408725764,"London, United Kingdom"
The Song of Achilles,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/0620/9780062060624.jpg,2012,24.06,Madeline Miller,4.41,Ecco Press,416,9780062060624,
"Solo Leveling, Vol. 1 (manga)",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9753/9781975319434.jpg,2021,28.81,Chugong,4.54,Yen Pr,192,9781975319434,"New York, United States"
The Couple at No 9,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4059/9781405943406.jpg,2021,15.79,Claire Douglas,4.3,Penguin Books Ltd,432,9781405943406,"London, United Kingdom"
The Psychology of Money,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/8571/9780857197689.jpg,2020,22.91,Morgan Housel,4.39,Harriman House Publishing,256,9780857197689,"Petersfield, United Kingdom"
Taste,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/2415/9780241500996.jpg,2021,32.71,Stanley Tucci,4.42,Penguin Books Ltd,320,9780241500996,"London, United Kingdom"
When the Body Says No,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7850/9781785042225.jpg,2019,18.49,Dr Gabor Mate,4.33,Ebury Publishing,320,9781785042225,"London, United Kingdom"
The Power of Now,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/3407/9780340733509.jpg,2016,14.98,Eckhart Tolle,4.13,Hodder & Stoughton,224,9780340733509,"London, United Kingdom"
One Of Us Is Lying,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/1413/9780141375632.jpg,2017,15.4,Karen M. McManus,4.04,Penguin Random House Children's UK,368,9780141375632,"London, United Kingdom"
Confess,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4711/9781471148590.jpg,2015,16.55,Colleen Hoover,4.21,Simon & Schuster Ltd,320,9781471148590,"London, United Kingdom"
Have You Filled A Bucket Today?,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/9960/9780996099936.jpg,2015,17.32,Carol McCloud,4.4,Bucket Fillosophy,32,9780996099936,"MI, United States"
Sapiens,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/0995/9780099590088.jpg,2015,22.16,Yuval Noah Harari,4.39,Vintage Publishing,512,9780099590088,"London, United Kingdom"
Love and Other Words,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5011/9781501128011.jpg,2018,24.33,Christina Lauren,4.26,Simon & Schuster,432,9781501128011,"New York, United States"
Christmas Street,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/8399/9781839943126.jpg,2021,26.26,Jonathan Emmett,,Nosy Crow Ltd,13,9781839943126,"London, United Kingdom"
God Emperor Of Dune,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4732/9781473233805.jpg,2021,18.75,Frank Herbert,3.87,Orion Publishing Co,432,9781473233805,"London, United Kingdom"
"Red, White & Royal Blue",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/2503/9781250316776.jpg,2019,25.02,Casey McQuiston,4.23,St Martin's Press,432,9781250316776,"New York, United States"
Red Lines,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/2625/9780262543019.jpg,2021,49.55,Cherian George,4,MIT Press Ltd,440,9780262543019,United States
Brain Games For Clever Kids (R),https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7805/9781780552491.jpg,2014,12.27,Gareth Moore,4.25,Michael O'Mara Books Ltd,192,9781780552491,"London, United Kingdom"
A Little Life,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4472/9781447294832.jpg,2017,20.17,Hanya Yanagihara,4.3,Pan Macmillan,736,9781447294832,"London, United Kingdom"
Living the Chateau Dream,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/8418/9781841885353.jpg,2021,29.1,Angel Strawbridge,4.67,Orion Publishing Co,336,9781841885353,"London, United Kingdom"
The Jolly Christmas Postman,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/1413/9780141340111.jpg,2014,24.17,Allan Ahlberg,4.49,Penguin Random House Children's UK,52,9780141340111,"London, United Kingdom"
"Thinking, Fast and Slow",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/1410/9780141033570.jpg,2012,22.47,Daniel Kahneman,4.16,Penguin Books Ltd,512,9780141033570,"London, United Kingdom"
"The Boy, The Mole, The Fox and The Horse",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5291/9781529105100.jpg,2019,30.15,Charlie Mackesy,4.59,Ebury Publishing,128,9781529105100,"London, United Kingdom"
The Cruel Prince (The Folk of the Air),https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4714/9781471407277.jpg,2018,14.89,Holly Black,4.09,Hot Key Books,400,9781471407277,"London, United Kingdom"
